CD_OSCAR,STATION_NAME,CD_STATION,TP_STATION,START_DATE_OPERATION,END_DATE_OPERATION,LONGITUDE,LATITUDE,HEIGHT,CD_SITUATION,CD_WSI,IS_CAPITAL,CD_DISTRICT,INSTITUTE,STATE
0-2000-0-81918,JOAO PESSOA,A320,Automatic,2007-07-21 00:00:00+00:00,,-34.81555555,-7.16527777,33.5,Operative,0-76-0-2507507000000234,False, 03,INMET,PB
0-2000-0-86758,JOAO PINHEIRO,A553,Automatic,2007-07-07 00:00:00+00:00,,-46.11944443,-17.78444444,877.05,Operative,0-76-0-3136306000000221,False, 05,INMET,MG
0-2000-0-86903,JOAQUIM TAVORA,A821,Automatic,2006-11-23 00:00:00+00:00,,-49.94638888,-23.50527777,512.67,Down,0-76-0-4112801000000144,False, 08,INMET,PR
0-2000-0-86839,JOSE BONIFACIO,A735,Automatic,2007-09-03 00:00:00+00:00,,-49.92027777,-21.08555555,408.35,Down,0-76-0-3525706000000249,False, 07,INMET,SP
0-2000-0-86625,JUARA,A914,Automatic,2006-11-02 00:00:00+00:00,,-57.52666666,-11.28027777,263.43,Down,0-76-0-5105101000000134,False, 09,INMET,MT
0-2000-0-86624,JUINA,A920,Automatic,2006-11-24 00:00:00+00:00,,-58.77472221,-11.37499999,365.39,Operative,0-76-0-5105150000000145,False, 09,INMET,MT
0-2000-0-86851,JUIZ DE FORA,A518,Automatic,2007-05-26 00:00:00+00:00,,-43.364329,-21.769965,936.88,Operative,0-76-0-3136702000000196,False, 05,INMET,MG
0-2000-0-86859,JUTI,A749,Automatic,2008-06-16 00:00:00+00:00,,-54.60555555,-22.85722222,375.18,Operative,0-76-0-5005152000000384,False, 07,INMET,MS
0-2000-0-81888,LABREA,A111,Automatic,2008-07-27 00:00:00+00:00,,-64.7886111,-7.26055555,61.91,Operative,0-76-0-1302405000000412,False, 01,INMET,AM
0-2000-0-86932,LAGES,A865,Automatic,2014-11-06 00:00:00+00:00,,-50.33555555,-27.80222222,952.7,Operative,0-76-0-4209300000000497,False, 08,INMET,SC
0-2000-0-86602,LAGOA DA CONFUSAO,A055,Automatic,2016-11-15 00:00:00+00:00,,-49.847882,-10.828286,178.0,Operative,0-76-0-1711902000000531,False, 10,INMET,TO
0-2000-0-86965,LAGOA VERMELHA,A844,Automatic,2007-03-02 00:00:00+00:00,,-51.512845,-28.222381,833.83,Operative,0-76-0-4311304000000175,False, 08,INMET,RS
0-2000-0-86949,LARANJEIRAS DO SUL,B804,Automatic,2016-08-07 00:00:00+00:00,,-52.40083333,-25.37138888,889.0,Operative,0-76-0-4113304000000525,False, 08,INMET,PR
0-2000-0-86654,LENCOIS,A425,Automatic,2008-04-05 00:00:00+00:00,,-41.38888888,-12.55777777,438.09,Operative,0-76-0-2900702000000328,False, 04,INMET,BA
0-2000-0-86805,LINHARES,A614,Automatic,2006-10-27 00:00:00+00:00,,-40.0686111,-19.35694444,40.0,Operative,0-76-0-3203205000000128,False, 06,INMET,ES
0-2000-0-86840,LINS,A727,Automatic,2006-09-20 00:00:00+00:00,,-49.73472221,-21.66611111,460.65,Operative,0-76-0-3527108000000105,False, 07,INMET,SP
0-2000-0-86651,LUIZ EDUARDO MAGALHAES,A404,Automatic,2002-04-18 00:00:00+00:00,,-45.82972221,-12.1525,760.68,Operative,0-76-0-2903201000000021,False, 04,INMET,BA
0-2000-0-86736,LUZIANIA,A012,Automatic,2006-10-21 00:00:00+00:00,,-47.96694443,-16.26055555,1000.82,Operative,0-76-0-5212501000000120,False, 10,INMET,GO
0-2000-0-86972,Laguna  - Farol de Santa Marta,A866,Automatic,2008-06-01 00:00:00+00:00,,-48.81333333,-28.60444444,34.36,Operative,0-76-0-4209409000000373,False, 08,INMET,SC
0-2000-0-86891,MACAE,A608,Automatic,2006-09-22 00:00:00+00:00,,-41.81194444,-22.3761111,28.0,Operative,0-76-0-3302403000000106,False, 06,INMET,RJ
0-2000-0-86655,MACAJUBA,A412,Automatic,2003-02-03 00:00:00+00:00,,-40.35416666,-12.13166666,360.0,Down,0-76-0-2919603000000049,False, 04,INMET,BA
0-2000-0-81638,MACAPA,A249,Automatic,2013-12-12 00:00:00+00:00,,-51.08888888,0.03499999,16.62,Operative,0-76-0-1600303000000495,False, 02,INMET,AP
0-2000-0-81836,MACAU,A317,Automatic,2007-01-06 00:00:00+00:00,,-36.57305554,-5.15111111,17.37,Operative,0-76-0-2407203000000167,False, 03,INMET,RN
0-2000-0-81998,MACEIO,A303,Automatic,2003-02-25 00:00:00+00:00,,-35.77027777,-9.55111111,84.12,Operative,0-76-0-2700508000000061,False, 03,INMET,AL
0-2000-0-84815,MACHADO,A567,Automatic,2017-07-21 00:00:00+00:00,,-45.944389,-21.680722,969.0,Operative,0-76-0-3139003000000552,False, 05,INMET,MG
0-2000-0-86942,MAJOR VIEIRA,A864,Automatic,2009-02-09 00:00:00+00:00,,-50.36333333,-26.3936111,799.58,Operative,0-76-0-4210308000000442,False, 08,INMET,SC
0-2000-0-86916,MAL. CANDIDO RONDON,A820,Automatic,2006-11-18 00:00:00+00:00,,-54.01916666,-24.53333333,392.07,Operative,0-76-0-4114609000000140,False, 08,INMET,PR
0-2000-0-81729,MANACAPURU,A119,Automatic,2008-04-10 00:00:00+00:00,,-60.62833332,-3.29472221,36.57,Operative,0-76-0-1302504000000331,False, 01,INMET,AM
0-2000-0-81730,MANAUS,A101,Automatic,2000-05-09 00:00:00+00:00,,-60.01638888,-3.10333333,61.25,Operative,0-76-0-1302603000000003,False, 01,INMET,AM
0-2000-0-86825,MANHUACU,A556,Automatic,2010-09-25 00:00:00+00:00,,-42.18277777,-20.26333333,819.47,Operative,0-76-0-3139409000000467,False, 05,INMET,MG
0-2000-0-81810,MANICORE,A133,Automatic,2011-12-12 00:00:00+00:00,,-61.28833333,-5.7886111,40.64,Operative,0-76-0-1302702000000479,False, 01,INMET,AM
0-2000-0-86784,MANTENA,A540,Automatic,2007-08-01 00:00:00+00:00,,-40.986505,-18.78062,254.91,Operative,0-76-0-3139607000000238,False, 05,INMET,MG
0-2000-0-81820,MARABA,A240,Automatic,2009-06-25 00:00:00+00:00,,-49.05111111,-5.36638888,116.58,Down,0-76-0-1504208000000449,False, 02,INMET,PA
